Data Type,Group Type,Series Name,Item Name,From Date,To Date
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of wearing apparel of leather, and substitutes of leather",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of wines,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of wooden industrial goods n.e.c,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Paper and paper product,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Repair of agricultural machinery/equipment,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Repair of motor vehicles and motor cyclcs except trucks, lorry and other heavy vehicle",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Saw milling and planing of wood,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Spinning, weaving and processing of silk textiles in mills",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Aircraft and spacecraft,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Glass and glass products,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of bamboo and cane furniture and fixtures,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of bicycles, cycle-rickshaws and parts",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of drugs, medicines and allied products",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,manufacture of magnetic and optical media,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of malt liquor and malt,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of metal products (except machinery and equipment) n.e.c,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of other electrical equipment,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of veneer sheets, plywood and their products",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,materials recovery,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Other electrical equipment n.e.c.,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Preparation of raw wool, silk and artificial/synthetic textile fibres for spinning",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Printing and publishing newspapers,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Processing/Re-rolling of metal scraps other than iron an.d steel scraps (Note : Re-rolling of iron and steel scraps is included in class 330.2),1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Production of country liquor (arrack and toddy etc.),1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Spinning, weaving and finishing of coir textiles",1980-1981,1997-1998
