Data Type,Group Type,Series Name,Item Name,From Date,To Date
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,manufacture of chemicals and chemical products,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Chemicals and Products,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of coke and refined petroleum products,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"manufacture of computer, electronic and optical products",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of electrical equipment,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Electrical Machinery and Apparatus N.E.C.,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Manufacture of fabricated metal products, except machinery and equipment",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Manufacture of Fabricated Metal Products, Except Machinery and Equipments",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Food Products and Beverages,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of furniture,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Furniture; Manufacturing N.E.C.,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of leather and related products,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of machinery and equipment n.e.c,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,manufacture of machinery and equipment n.e.c.,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Machinery and Equipments N.E.C,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Manufacture of Medical, Precision and Optical Instruments, Watches and Clocks",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Manufacture of motor vehicles, trailers and semi-trailers",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Manufacture of Office, Accounting and Computing Machinery",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Other Non-Metallic Mineral Products,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,manufacture of other transport equipment,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Paper and Paper Products,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Manufacture of Radio, Television and Communication Equipments and Apparatus",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Rubber and Plastic Products,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,manufacture of rubber and plastics products,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Textiles,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Tobacco Products,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,manufacture of wearing apparel,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Manufacture of Wearing Apparel Dressing and Dyeing of Fur,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Manufacture of Wood and Products of Wood and Cork, Except Furniture, Manufacture of Articles of Straw and Plating Materials",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Manufacture of woodand of products of wood and cork,except furniture;  manufacture  of articles  of straw and  plaiting  materials",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Metal Products and Parts, except Machinery and Equipment",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Non-Metallic Mineral Products,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,other manufacturing,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Other Mining and Quarrying,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Paper & Paper Products and Printing, Publishing & Allied Industries",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,printing and reproduction of recorded media,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Printing and reproduction of recorded media (this division excludes publishing activities, see section J for publishing activities",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Publishing, Printing and Reproduction of Recorded Media",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Recycling,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Repair and installation of machinery and equipment,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Rubber, Plastic, Petroleum and Coal Products",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Tanning and Dressing of Leather Manufacture of Luggage, Handsbages, Saddlery, Harness and Footwear",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Textile Products (including Wearing Apparel),2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Transport Equipment and Parts,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,Wood and Wood Products; Furniture and Fixtures,2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),2004,"Wool, Silk and man-made fibre textiles",2004-2005,2007-2008
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),EPWRF Concorded Series,"Agriculture, Hunting and Related Service Activities",1980-1981,2023-2024
